"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM2.1.1) RBI's Claims on - Government (net)","2001/08/17 00:00:00","156826","2001 -08-17","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/01/04 00:00:00","149004","2002 -01-04","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/01/11 00:00:00","151758","2002 -01-11","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/01/18 00:00:00","148559","2002 -01-18","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/01/25 00:00:00","152460","2002 -01-25","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/02/01 00:00:00","146543","2002 -02-01","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/02/08 00:00:00","155765","2002 -02-08","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/02/15 00:00:00","146293","2002 -02-15","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/02/22 00:00:00","151350","2002 -02-22","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/03/01 00:00:00","150596","2002 -03-01","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/03/08 00:00:00","152148","2002 -03-08","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/03/15 00:00:00","152179","2002 -03-15","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/03/22 00:00:00","141768","2002 -03-22","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/03/29 00:00:00","147175","2002 -03-29","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/04/05 00:00:00","144036","2002 -04-05","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/04/12 00:00:00","153725","2002 -04-12","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/04/19 00:00:00","160102","2002 -04-19","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/04/26 00:00:00","155562","2002 -04-26","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/05/03 00:00:00","161069","2002 -05-03","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/05/10 00:00:00","163054","2002 -05-10","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/05/17 00:00:00","169065","2002 -05-17","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/05/24 00:00:00","169699","2002 -05-24","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/05/31 00:00:00","159701","2002 -05-31","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/06/07 00:00:00","164653","2002 -06-07","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/06/14 00:00:00","166991","2002 -06-14","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/06/21 00:00:00","163492","2002 -06-21","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/06/28 00:00:00","147966","2002 -06-28","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/07/05 00:00:00","164117","2002 -07-05","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/07/12 00:00:00","169412","2002 -07-12","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/07/19 00:00:00","148552","2002 -07-19","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/07/26 00:00:00","155332","2002 -07-26","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/08/02 00:00:00","144182","2002 -08-02","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/08/09 00:00:00","154137","2002 -08-09","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/08/16 00:00:00","136984","2002 -08-16","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/08/23 00:00:00","134207","2002 -08-23","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/08/30 00:00:00","119616","2002 -08-30","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/09/06 00:00:00","140632","2002 -09-06","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/09/13 00:00:00","127529","2002 -09-13","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/09/20 00:00:00","128187","2002 -09-20","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/09/27 00:00:00","129580","2002 -09-27","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/10/04 00:00:00","124113","2002 -10-04","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/10/11 00:00:00","124869","2002 -10-11","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/10/18 00:00:00","120553","2002 -10-18","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/10/25 00:00:00","125351","2002 -10-25","1156"
"RM2.1.1) RBI's Claims on - Government (net)","2002/11/01 00:00:00","142511","2002 -11-01","1156"
